text,difficulty,importance
study for study session tough challenging,0.644,0.691
have checkup extremely hard life or death,0.895,0.917
prepare for retrospective not easy not important,0.532,0.326
have team standup hard cannot miss,0.739,0.88
refactor unit testing should prioritize,0.494,0.615
go for meditation before lunch,0.272,0.38
finish cooking not easy not important,0.48,0.343
file budget takes forever but skip it,0.84,0.126
attend slides hard hard,0.698,0.65
do walk worth the time,0.367,0.571
have doctor appointment complex very important,0.759,0.929
refactor email easy but critical,0.089,0.877
finish cooking difficult needs doing,0.57,0.6
do assignment hard waste of time,0.781,0.083
prepare for homework tough challenging,0.554,0.576
do walk medium difficulty medium stakes,0.48,0.598
work on deployment hard very important,0.601,0.872
take care of shopping difficult urgent,0.629,0.938
do stretch moderately important,0.349,0.602
take care of shopping not important but hard,0.678,0.18
easy checkup session,0.098,0.084
run slides hard very important,0.645,0.881
get cooking non trivial,0.577,0.351
have checkup tough no benefit,0.666,0.111
join sprint planning worthwhile effort,0.458,0.562
lead call with client tough no benefit,0.693,0.113
prepare for presentation tiny task major impact,0.098,0.842
study for exam prep decent priority,0.386,0.552
ship performance review quite demanding,0.564,0.436
attend retrospective hard quite important,0.659,0.602
complete documentation should prioritize,0.436,0.612
go to standup hard zero payoff,0.74,0.13
join call with client quick urgent,0.147,0.932
finish dusting important needs focus,0.521,0.649
lead slides massive effort basically useless,0.766,0.085
debug unit testing straightforward,0.104,0.206
review report hard doesn't matter,0.614,0.129
do timesheet difficult pointless,0.648,0.118
have checkup middle of the road,0.534,0.53
submit invoice important moderate effort,0.472,0.625
take care of groceries quite demanding,0.547,0.58
finish vacuuming tough no benefit,0.642,0.075
do timesheet decent work reasonable priority,0.539,0.49
fill out invoice not important but hard,0.776,0.197
get dusting massive effort basically useless,0.718,0.091
do doctor appointment not important but hard,0.751,0.194
have retrospective tiny task major impact,0.105,0.825
fix email demanding critical,0.639,0.888
run team standup difficult pointless,0.712,0.15
go to checkup tough challenging,0.563,0.661
do yoga tiny task major impact,0.082,0.817
do run technically hard completely optional,0.734,0.105
do cleaning can wait,0.365,0.277
do meditation extremely hard life or death,0.87,0.979
run sprint planning not important but hard,0.731,0.282
handle shopping minor task,0.264,0.223
go for walk important moderate effort,0.391,0.71
do homework hard critical,0.609,0.914
complete unit testing medium priority,0.438,0.698
go for walk brutal intense,0.908,0.862
run meeting medium priority,0.332,0.61
ship report minor task,0.244,0.256
work on unit testing light and simple,0.096,0.187
go to standup quick low value,0.115,0.333
get dishes technically hard completely optional,0.665,0.123
join team standup low priority,0.25,0.255
do budget hard critical,0.584,0.94
do dishes before lunch,0.298,0.321
fix email simple worth doing,0.14,0.493
debug performance review hard needs focus,0.748,0.653
write documentation tough challenging,0.733,0.69
prepare for standup not important but hard,0.626,0.229
do stretch easy but critical,0.143,0.9
do yoga easy must do,0.12,0.94
go to retrospective kinda hard kinda matters,0.541,0.567
study for reading thirty seconds can't skip,0.063,0.968
ship performance review trivial but high stakes,0.134,0.883
do meditation quick but matters,0.1,0.656
finish email easy simple,0.17,0.13
run interview quick can't miss,0.075,0.925
refactor documentation trivial but high stakes,0.059,0.802
push documentation easy moderate important,0.109,0.512
take care of dusting massive effort basically useless,0.753,0.064
take care of dusting next week,0.393,0.162
ship email solid mid level task,0.375,0.442
prepare for standup tiny task major impact,0.109,0.884
extreme expense report,0.873,0.705
lead retrospective easy no big deal,0.143,0.163
prepare for exam prep non trivial,0.486,0.329
have dentist hard hard,0.63,0.575
finish unit testing extremely hard life or death,0.9,0.949
debug unit testing kinda hard kinda matters,0.595,0.527
fix code review should prioritize,0.366,0.653
attend sprint planning decent work reasonable priority,0.538,0.523
go for meditation hard nobody cares,0.716,0.178
run standup massive effort basically useless,0.774,0.054
do walk difficult needs doing,0.551,0.635
go to sprint planning extremely complex critical,0.898,0.909
file expense report fair amount of work,0.517,0.527
finish unit testing grueling most important,0.874,0.886
go for stretch background task,0.438,0.229
study for assignment not important,0.343,0.251
do gym session tough no benefit,0.621,0.112
refactor deployment non trivial,0.569,0.377
do invoice considerable effort,0.452,0.532
prepare for exam prep easy should do,0.192,0.587
join slides not urgent,0.44,0.219
run team standup decent effort important,0.359,0.609
finish email complex very important,0.632,0.878
fill out invoice worthwhile effort,0.305,0.692
lead retrospective extremely complex critical,0.769,0.903
ship documentation complex very important,0.785,0.923
get checkup simple critical,0.153,0.872
join sprint planning small but worth doing,0.257,0.367
do doctor appointment hard quite important,0.604,0.724
run meeting not difficult,0.216,0.204
do dishes hard cannot miss,0.721,0.87
push deployment one click very important,0.043,0.877
do reading hard demanding,0.611,0.66
write email grueling most important,0.956,0.882
review exam prep barely any effort extremely important,0.145,0.852
go for stretch if time allows,0.457,0.279
fill out invoice massive effort basically useless,0.771,0.116
write code review tough urgent must do,0.745,0.926
finish homework tough no benefit,0.586,0.132
prepare for team standup background task,0.321,0.226
prepare for presentation not hard but important,0.185,0.614
finish cleaning extremely hard life or death,0.845,0.971
have presentation massive effort basically useless,0.853,0.149
have medication quick but matters,0.093,0.627
complete budget quick urgent,0.143,0.926
work on unit testing straightforward,0.116,0.247
fill out expense report hard critical,0.604,0.936
work on report demanding critical,0.637,0.856
go to standup tiny task major impact,0.125,0.807
write unit testing tiny task major impact,0.081,0.892
easy expense report session,0.123,0.192
tough doctor appointment,0.617,0.595
work on code review extreme critical,0.882,0.853
attend networking event this week,0.49,0.463
work on email massive effort basically useless,0.728,0.133
fill out timesheet tonight,0.268,0.39
go to medication considerable effort,0.463,0.424
have checkup background task,0.279,0.372
do stretch complex nobody asked for,0.714,0.124
finish assignment moderate nothing special,0.309,0.443
have call with client exhausting low stakes,0.719,0.111
join team standup difficult needs doing,0.738,0.513
run retrospective quite demanding,0.604,0.563
run call with client hard demanding,0.722,0.56
review code review barely anything,0.018,0.135
get dusting this week,0.389,0.498
get dishes brutal intense,0.824,0.873
lead sprint planning medium effort,0.466,0.315
finish homework easy no big deal,0.09,0.176
finish assignment moderately important,0.403,0.583
lead retrospective decent effort important,0.485,0.68
fill out expense report not urgent,0.353,0.264
fix performance review simple pointless,0.086,0.052
do reading one click very important,0.026,0.975
attend retrospective quite demanding,0.628,0.479
have standup easy moderate important,0.09,0.529
take care of shopping non trivial,0.516,0.313
complete invoice decent priority,0.44,0.515
prepare for call with client routine low stakes,0.277,0.243
go for meditation requires focus,0.358,0.611
do groceries worthwhile effort,0.455,0.562
do dishes extremely hard life or death,0.848,0.942
go for stretch simple critical,0.09,0.896
finish code review tiny task major impact,0.137,0.921
join call with client in the morning,0.277,0.34
lead presentation exhausting low stakes,0.607,0.172
do run easy no effort,0.07,0.068
take care of cooking draining but irrelevant,0.712,0.067
go to meeting moderate doesn't matter,0.416,0.15
prepare for reading simple urgent need,0.168,0.835
run retrospective if time allows,0.392,0.239
fill out invoice average task average priority,0.564,0.485
finish vacuuming quick low value,0.149,0.241
do dentist difficult urgent,0.627,0.924
review documentation hard critical,0.738,0.937
submit budget takes no time,0.045,0.153
have dentist easy no effort,0.051,0.134
take care of dishes not important but hard,0.626,0.274
go through homework hard quite important,0.56,0.783
work on unit testing easy but critical,0.111,0.825
finish dusting nice to have,0.385,0.347
do stretch extremely complex critical,0.866,0.897
review documentation tough challenging,0.658,0.577
prepare for standup takes no time top priority,0.1,0.81
have retrospective somewhat challenging,0.435,0.443
have retrospective simple urgent need,0.095,0.87
urgent study session,0.378,0.844
do shopping considerable effort,0.533,0.409
go for meditation complex very important,0.687,0.87
complete email simple urgent need,0.116,0.805
submit budget quick urgent,0.101,0.88
have standup neither easy nor hard,0.588,0.432
do timesheet needs attention,0.499,0.621
take care of vacuuming not important but hard,0.765,0.246
write documentation quite demanding,0.544,0.496
debug documentation simple critical,0.121,0.918
ship unit testing important needs focus,0.433,0.635
do walk simple worth doing,0.185,0.524
join interview moderately important,0.305,0.569
go for gym session quick but important,0.097,0.8
have slides non trivial,0.526,0.396
do dentist important moderate effort,0.379,0.649
finish performance review somewhat challenging,0.417,0.531
go to call with client takes forever but skip it,0.711,0.116
run networking event tough challenging,0.73,0.554
